Address,City,State,Postal,County,Date,Time,Case,URL,Source,Atty,Atty_Contact
2394 MELOY ROAD,KENT ,OH, 44240,portage,07/07/2025,11:00 AM ET,2023FSH0000910OH672,https://portage.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/07/2025,Realforeclose.com,,
5664 MCCORMICK RD.,RAVENNA ,OH, 44266,portage,07/07/2025,11:00 AM ET,2024FSH0000983OH672,https://portage.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/07/2025,Realforeclose.com,,
289 ARLEDGE DRIVE,COMMERCIAL POINT ,OH, 43116,pickaway,07/08/2025,01:30 PM ET,2024CI0173 (0),https://pickaway.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/08/2025,Realforeclose.com,,
511 SOUTH DAVIS STREET,FOREST ,OH, 45843,hardin,07/08/2025,10:00 AM ET,CVE20241166 (0),https://hardin.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/08/2025,Realforeclose.com,,
1361 Hollyview Drive,Vermilion ,OH, 44089,erie,07/08/2025,10:00 AM ET,2024CV0593 (0),https://erie.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/08/2025,Realforeclose.com,,
1305 State St.,Vermilion ,OH, 44870,erie,07/08/2025,10:00 AM ET,2025CV0081 (0),https://erie.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/08/2025,Realforeclose.com,,
359 DEEPWOOD LANE,AMHERST ,OH, 44001,lorain,07/09/2025,10:00 AM ET,24CV214068,https://lorain.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/09/2025,Realforeclose.com,,
13260 STATION ROAD,COLUMBIA STATION ,OH, 44028,lorain,07/09/2025,10:00 AM ET,23CV210465,https://lorain.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/09/2025,Realforeclose.com,,
82 WOODFORD AVENUE,ELYRIA ,OH, 44035,lorain,07/09/2025,10:00 AM ET,24CV212529,https://lorain.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/09/2025,Realforeclose.com,,
38227 CHESTNUT RIDGE ROAD,ELYRIA ,OH, 44035,lorain,07/09/2025,10:00 AM ET,24CV214070,https://lorain.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/09/2025,Realforeclose.com,,
7266 SIOUX TRAIL,HOLLAND ,OH, 43528,lucas,07/09/2025,10:00 AM ET,CI202103256 (2554),https://lucas.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/09/2025,Realforeclose.com,,
4025 KENYON AVENUE,LORAIN ,OH, 44052,lorain,07/09/2025,10:00 AM ET,22CV206312,https://lorain.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/09/2025,Realforeclose.com,,
263 COVE BEACH AVENUE,SHEFFIELD LAKE ,OH, 44054,lorain,07/09/2025,10:00 AM ET,24CV212169,https://lorain.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/09/2025,Realforeclose.com,,
345 LYNNE DRIVE,SHEFFIELD LAKE ,OH, 44054,lorain,07/09/2025,10:00 AM ET,24CV212639,https://lorain.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/09/2025,Realforeclose.com,,
1555 COLLEEN COURT,TOLEDO ,OH, 436140000,lucas,07/09/2025,10:00 AM ET,CI202404422 (2553),https://lucas.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/09/2025,Realforeclose.com,,
5197 FISHER CORINTH RD,FARMDALE ,OH, 44417,trumbull,07/10/2025,09:00 AM ET,2024 SH 00318,https://trumbull.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/10/2025,Realforeclose.com,,
2120 ARMS DR,GIRARD ,OH, 44420,trumbull,07/10/2025,09:00 AM ET,2024 SH 01829,https://trumbull.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/10/2025,Realforeclose.com,,
830 VIENNA AVE,NILES ,OH, 44446,trumbull,07/10/2025,09:00 AM ET,2024 SH 00047,https://trumbull.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/10/2025,Realforeclose.com,,
1415 SUNSET DR NE,WARREN ,OH, 44483,trumbull,07/10/2025,09:00 AM ET,2024 SH 01370,https://trumbull.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/10/2025,Realforeclose.com,,
6182 ROSS ROAD,FAIRFIELD ,OH, 450140000,butler,07/10/2025,09:30 AM ET,CV22040655 (5106),https://butler.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/10/2025,Realforeclose.com,,
5263 TALLAWANDA DRIVE,FAIRFIELD ,OH, 450140000,butler,07/10/2025,09:30 AM ET,CV24030605 (5105),https://butler.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/10/2025,Realforeclose.com,,
109 TWIN LAKES DRIVE,FAIRFIELD ,OH, 450140000,butler,07/10/2025,09:30 AM ET,CV24071275 (5107),https://butler.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/10/2025,Realforeclose.com,,
3108 BUTTERCUP COURT,MIDDLETOWN ,OH, 450420000,butler,07/10/2025,09:30 AM ET,CV23050943 (5104),https://butler.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/10/2025,Realforeclose.com,,
7995 TRANQUILITY TRACE,MIDDLETOWN ,OH, 450440000,butler,07/10/2025,09:30 AM ET,CV24040846 (5103),https://butler.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/10/2025,Realforeclose.com,,
9450 WEST MEADOW DRIVE,WEST CHESTER ,OH, 450690000,butler,07/10/2025,09:30 AM ET,CV24071424 (5102),https://butler.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/10/2025,Realforeclose.com,,
229 HAWKINS LANE 94B,BLACKLICK ,OH, 430040000,franklin,07/11/2025,09:00 AM ET,24CV2549 (12957),https://franklin.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/11/2025,Realforeclose.com,,
9111 DAYTON GREENVILLE PIKE,BROOKVILLE ,OH, 45309,montgomery,07/11/2025,09:00 AM ET,2025 CV 00524 (0),https://montgomery.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/11/2025,Realforeclose.com,,
6700 LAGRANGE DRIVE,CANAL WINCHESTER ,OH, 431100000,franklin,07/11/2025,09:00 AM ET,17CV9359 (12959),https://franklin.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/11/2025,Realforeclose.com,,
711 S WAYNE AVE,COLUMBUS ,OH, 432040000,franklin,07/11/2025,09:00 AM ET,24CV4893 (12961),https://franklin.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/11/2025,Realforeclose.com,,
1230-1232 GILBERT STREET,COLUMBUS ,OH, 432060000,franklin,07/11/2025,09:00 AM ET,24CV1574 (12956),https://franklin.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/11/2025,Realforeclose.com,,
3040 TEMPLETON ROAD,COLUMBUS ,OH, 432090000,franklin,07/11/2025,09:00 AM ET,18CV168 (12966),https://franklin.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/11/2025,Realforeclose.com,,
2332 HAMILTON AVENUE,COLUMBUS ,OH, 432110000,franklin,07/11/2025,09:00 AM ET,24CV4624 (12810),https://franklin.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/11/2025,Realforeclose.com,,
2046 LORETTA AVE,COLUMBUS ,OH, 432110000,franklin,07/11/2025,09:00 AM ET,24CV5329 (12939),https://franklin.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/11/2025,Realforeclose.com,,
53 EAST DIXON AVENUE,DAYTON ,OH, 45419,montgomery,07/11/2025,09:00 AM ET,2025 CV 00249 (0),https://montgomery.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/11/2025,Realforeclose.com,,
5630 BOTKINS ROAD,DAYTON ,OH, 45424,montgomery,07/11/2025,09:00 AM ET,2025 CV 01439 (0),https://montgomery.sheriffsaleauction.ohio.gov/index.cfm?zaction=AUCTION&Zmethod=PREVIEW&AUCTIONDATE=07/11/2025,Realforeclose.com,,
